
Page: 1                 anlresprint.php, Ver 1.4, 25FEB2011                 Printed: Oct 17 2018 17:17:56
==============================================================================================================
SN:290_003.18 Shot: 1139 Jug: 057 Mass: 190 Ctr:  76 ROT: 290.0277 ZT: 289.5990(2018) CT: 290.0154 CL:    15
NCHAN:4096   Live:    15.0   True:    17.7   Delta: 0.4225   Rate:755934   Gain: 0.50021   Zero: -0.17000
Type:  3  User: 76  Gain:  0  Pos:  4  Shelf: 18   LP Prog/Yr/Seq:0/0/0  Timestamp: 2018-10-17 00:42:02.0
Count acc/rej: default    QAStatus: pending    QA'd by: 00    QA Time:     QA Comm:  
--------------------------------------------------------------------------------------------------------------

==============================================================================================================
Analysis Results:

Analysis Code: raygun  Peaks: 130  Overall QA:    0.00  Library: 9  CD: 71  Timestamp:2018-10-17 00:42:02.0 
Analysis ZT: 289.5990      AnalysisZY: 2018     Original: Yes     Comment: 

Peak    Start    Centroid     End     Energy     NetArea     Error    Gammas/Min    Identified
  1     113.0     116.9     119.0      58.31       16122       1.8    5.3770E+06         No
  2     145.0     145.7     148.0      72.69        1493      16.7    2.8530E+05         No
  3     148.0     150.0     151.0      74.88        2816       7.3    4.9920E+05        Yes
  4     169.0     176.0     180.0      87.85       18509       1.8    2.1910E+06         No
  5     191.0     194.6     197.0      97.18        8768       3.5    9.6320E+05        Yes
  6     234.0     239.1     242.0     119.43        5615       8.1    5.3330E+05         No
  7     246.0     247.7     250.0     123.71        1672      19.4    1.5640E+05         No
  8     255.0     261.8     266.0     130.76       69664       0.7    6.5340E+06         No
  9     309.0     311.1     314.0     155.44       21104       1.7    1.9940E+06         No
 10     355.0     357.3     359.0     178.55        3764       8.3    3.8080E+05         No
 11     361.0     364.5     370.0     182.17      148541       0.4    1.5300E+07         No
 12     379.0     380.4     383.0     190.12        4059       6.8    4.3420E+05         No
 13     385.0     386.1     389.0     192.94        4203       6.3    4.5550E+05         No
 14     411.0     413.1     416.0     206.47       17006       1.9    1.9570E+06         No
