
Page: 1                 anlresprint.php, Ver 1.4, 25FEB2011                 Printed: Oct 17 2018 17:15:54
==============================================================================================================
SN:289_087.18 Shot: 1139 Jug: 057 Mass: 278 Ctr:  76 ROT: 289.9118 ZT: 289.5990(2018) CT: 289.8998 CL:    15
NCHAN:4096   Live:    15.0   True:    17.2   Delta: 0.3068   Rate:645773   Gain: 0.50021   Zero: -0.17000
Type:  3  User: 76  Gain:  0  Pos:  5  Shelf: 18   LP Prog/Yr/Seq:0/0/0  Timestamp: 2018-10-16 21:55:02.0
Count acc/rej: default    QAStatus: pending    QA'd by: 00    QA Time:     QA Comm:  
--------------------------------------------------------------------------------------------------------------

==============================================================================================================
Analysis Results:

Analysis Code: raygun  Peaks: 139  Overall QA:    0.00  Library: 9  CD: 71  Timestamp:2018-10-16 21:55:02.0 
Analysis ZT: 289.5990      AnalysisZY: 2018     Original: Yes     Comment: 

Peak    Start    Centroid     End     Energy     NetArea     Error    Gammas/Min    Identified
  1     113.0     116.8     118.0      58.27       22427       1.3    7.3780E+06         No
  2     149.0     150.0     152.0      74.88        2206       9.7    3.8500E+05        Yes
  3     152.0     153.6     155.0      76.68        1973      10.0    3.2430E+05         No
  4     173.0     175.9     180.0      87.82       26145       1.3    3.0500E+06         No
  5     190.0     194.5     198.0      97.10       20437       1.6    2.2110E+06        Yes
  6     233.0     239.1     242.0     119.41        6925       5.1    6.4760E+05         No
  7     246.0     247.6     251.0     123.66        2189      14.2    2.0160E+05         No
  8     258.0     261.7     268.0     130.72      105432       0.5    9.7350E+06         No
  9     310.0     311.0     312.0     155.41        1708      14.4    1.5890E+05         No
 10     355.0     357.4     362.0     178.59        7946       4.4    7.9160E+05         No
 11     362.0     364.4     366.0     182.11       12773       2.5    1.2950E+06         No
 12     409.0     413.0     418.0     206.44       27382       1.3    3.1020E+06         No
 13     455.0     457.1     458.0     228.49        1316      18.2    1.6310E+05        Yes
 14     496.0     497.9     500.0     248.91        5689       4.3    7.6070E+05         No
 15     507.0     509.8     511.0     254.82       14739      15.2    2.0120E+06         No
 16     521.0     522.9     525.0     261.40        7121       3.5    9.9440E+05         No
 17     527.0     531.1     540.0     265.50      121328       0.5    1.7180E+07         No
 18     549.0     552.0     554.0     275.97        1354      17.3    1.9840E+05        Yes
 19     554.0     557.8     560.0     278.83       22621       1.4    3.3450E+06         No
 20     574.0     580.1     584.0     290.03       15230       2.3    2.3320E+06         No
 21     587.0     588.3     590.0     294.11        1631      12.6    2.5280E+05         No
 22     595.0     600.1     603.0     300.00       60591       0.9    9.5600E+06        Yes
 23     603.0     604.8     608.0     302.34       13307       2.5    2.1140E+06        Yes
 24     612.0     614.6     616.0     307.28        2480       8.9    3.9980E+05         No
 25     674.0     678.0     680.0     338.96        3277       7.1    5.7620E+05         No
 26     690.0     692.9     695.0     346.43       12186       2.0    2.1840E+06         No
 27     727.0     728.7     731.0     364.31        3947       4.9    7.3990E+05        Yes
 28     758.0     759.8     762.0     379.88        2568       6.2    4.9940E+05         No
 29     794.0     795.8     799.0     397.89        2022       8.1    4.1010E+05         No
 30     808.0     809.8     813.0     404.89        3680       4.4    7.5870E+05        Yes
 31     820.0     820.9     822.0     410.45        1144      10.7    2.3890E+05         No
 32     837.0     838.3     841.0     419.14        1163      13.3    2.4770E+05         No
 33     843.0     846.0     850.0     423.01        1987       9.1    4.2690E+05         No
 34     862.0     865.2     868.0     432.59        8700       2.4    1.9090E+06         No
 35     886.0     888.4     893.0     444.23        5620       3.7    1.2640E+06         No
 36     893.0     894.1     896.0     447.07        1072      12.4    2.4270E+05         No
 37     901.0     906.7     910.0     453.38        2792       6.4    6.4010E+05         No
 38     926.0     929.2     935.0     464.62       12328       1.9    2.8930E+06         No
 39     946.0     954.6     959.0     477.35       99418       0.6    2.3930E+07        Yes
 40     959.0     960.8     964.0     480.42        4497       4.6    1.0890E+06        Yes
 41     964.0     967.1     971.0     483.56        3271       6.0    7.9690E+05         No
 42     971.0     974.0     975.0     487.05        1246      12.7    3.0550E+05        Yes
 43     988.0     991.2     996.0     495.65        2456       9.8    6.1230E+05         No
 44    1005.0    1021.6    1032.0     510.84      409883       0.4    1.0510E+08         No
 45    1032.0    1036.0    1042.0     518.06       36559       1.5    9.5010E+06         No
 46    1044.0    1047.5    1050.0     523.82        5653       3.0    1.4840E+06         No
 47    1079.0    1082.3    1087.0     541.21        7211       2.7    1.9520E+06         No
 48    1089.0    1092.1    1095.0     546.13        1004      14.9    2.7420E+05         No
 49    1110.0    1114.7    1118.0     557.40        1583      11.3    4.4060E+05         No
 50    1118.0    1120.1    1122.0     560.10         889      11.8    2.4870E+05         No
 51    1124.0    1130.7    1132.0     565.43        3142       5.8    8.8650E+05         No
 52    1132.0    1134.5    1140.0     567.33        4039       5.0    1.1430E+06         No
 53    1140.0    1144.6    1148.0     572.37       13065       1.7    3.7290E+06         No
 54    1150.0    1154.3    1159.0     577.20        5951       2.8    1.7120E+06         No
 55    1159.0    1161.8    1165.0     580.99         951      12.6    2.7510E+05         No
 56    1167.0    1169.4    1172.0     584.75         682      13.7    1.9850E+05         No
 57    1186.0    1192.0    1196.0     596.07        2556       6.0    7.5780E+05         No
 58    1202.0    1209.6    1211.0     604.88        6239       3.0    1.8760E+06         No
 59    1211.0    1214.0    1218.0     607.08       23978       1.3    7.2320E+06         No
 60    1220.0    1223.6    1226.0     611.87        3864       3.8    1.1740E+06         No
 61    1232.0    1236.0    1240.0     618.10        7221       2.5    2.2150E+06        Yes
 62    1240.0    1243.3    1246.0     621.72        3096       4.5    9.5510E+05         No
 63    1258.0    1265.5    1271.0     632.87        4992       3.5    1.5660E+06         No
 64    1285.0    1289.3    1293.0     644.74        3209       4.3    1.0240E+06         No
 65    1306.0    1307.4    1309.0     653.82         638      13.2    2.0620E+05         No
 66    1321.0    1326.2    1328.0     663.19        1308      10.3    4.2880E+05         No
 67    1328.0    1331.8    1339.0     665.99        3847       4.5    1.2660E+06         No
 68    1353.0    1356.0    1363.0     678.14        1481      10.7    4.9530E+05         No
 69    1366.0    1368.3    1371.0     684.26         848      10.4    2.8590E+05         No
 70    1376.0    1379.0    1382.0     689.60        6170       2.6    2.0950E+06         No
 71    1413.0    1414.9    1416.0     707.59         549      11.3    1.9070E+05         No
 72    1421.0    1422.7    1427.0     711.46         810      12.3    2.8290E+05         No
 73    1432.0    1437.7    1442.0     719.00         722      20.9    2.5460E+05         No
 74    1504.0    1508.2    1512.0     754.24         490      18.2    1.8060E+05         No
 75    1559.0    1568.5    1577.0     784.40       23255       1.5    8.8830E+06         No
 76    1619.0    1620.3    1622.0     810.31         318      20.1    1.2510E+05         No
 77    1630.0    1631.9    1633.0     816.11         299      18.8    1.1840E+05        Yes
 78    1637.0    1639.0    1642.0     819.66         962       8.6    3.8260E+05        Yes
 79    1653.0    1657.1    1662.0     828.74        5938       3.2    2.3850E+06         No
 80    1667.0    1669.5    1673.0     834.92         536      13.6    2.1670E+05         No
 81    1680.0    1682.4    1686.0     841.38         439      17.2    1.7890E+05         No
 82    1686.0    1692.2    1696.0     846.28        1991       6.7    8.1510E+05         No
 83    1713.0    1717.7    1721.0     859.03        1308       8.1    5.4300E+05         No
 84    1722.0    1724.7    1727.0     862.56        1083       9.6    4.5120E+05         No
 85    1732.0    1734.7    1737.0     867.56         570      15.3    2.3850E+05        Yes
 86    1739.0    1742.9    1746.0     871.65        2267       4.9    9.5330E+05         No
 87    1797.0    1799.2    1802.0     899.83         462      15.8    1.9990E+05         No
 88    1808.0    1811.9    1814.0     906.19        1513       6.0    6.5950E+05         No
 89    1883.0    1887.2    1892.0     943.82         725      12.7    3.2840E+05         No
 90    1898.0    1902.1    1906.0     951.27        1414       6.8    6.4570E+05         No
 91    1941.0    1944.9    1949.0     972.68        1036       9.0    4.8280E+05         No
 92    1963.0    1967.9    1971.0     984.18         878       9.4    4.1400E+05         No
 93    1975.0    1980.3    1986.0     990.40        3143       4.1    1.4910E+06         No
 94    2006.0    2009.0    2011.0    1004.73         340      20.7    1.6340E+05         No
 95    2029.0    2032.6    2038.0    1016.54         539      14.9    2.6210E+05         No
 96    2038.0    2044.8    2047.0    1022.66         425      17.3    2.0760E+05         No
 97    2059.0    2063.3    2066.0    1031.94         494      13.4    2.4370E+05         No
 98    2086.0    2089.1    2092.0    1044.81         476      19.4    2.3750E+05         No
 99    2120.0    2122.7    2125.0    1061.65         262      23.0    1.3270E+05         No
100    2167.0    2170.2    2173.0    1085.38         506      18.2    2.6170E+05         No
101    2178.0    2182.7    2188.0    1091.64        1231       8.7    6.4040E+05         No
102    2196.0    2200.7    2204.0    1100.64         521      13.0    2.7330E+05         No
103    2253.0    2259.0    2262.0    1129.80         672      14.0    3.6130E+05         No
104    2293.0    2299.9    2302.0    1150.25         653      18.4    3.5700E+05         No
105    2302.0    2308.7    2315.0    1154.65         852      15.0    4.6750E+05         No
106    2339.0    2344.6    2350.0    1172.64         726      12.5    4.0440E+05         No
107    2361.0    2367.2    2371.0    1183.91        1519       7.3    8.5210E+05         No
108    2378.0    2380.4    2384.0    1190.55         281      22.2    1.5810E+05         No
109    2389.0    2392.7    2396.0    1196.70         484      16.6    2.7400E+05         No
110    2396.0    2399.8    2406.0    1200.25        1787       6.1    1.0140E+06         No
111    2409.0    2413.9    2418.0    1207.30         580      12.3    3.3050E+05         No
112    2420.0    2426.3    2431.0    1213.48        1007       9.5    5.7630E+05         No
113    2440.0    2442.2    2445.0    1221.44         329      16.6    1.8920E+05         No
114    2462.0    2467.7    2470.0    1234.20         509      15.6    2.9530E+05        Yes
115    2513.0    2516.6    2520.0    1258.67         638      12.1    3.7560E+05         No
116    2551.0    2554.7    2559.0    1277.70         462      18.0    2.7500E+05         No
117    2569.0    2575.3    2578.0    1288.03         658      12.2    3.9480E+05         No
118    2719.0    2725.3    2730.0    1363.05         419      15.6    2.6370E+05         No
119    2750.0    2754.4    2759.0    1377.59        1449       7.1    9.2140E+05         No
120    2860.0    2864.4    2868.0    1432.65         829       9.1    5.4740E+05         No
121    2926.0    2930.8    2936.0    1465.84         624      11.3    4.2070E+05         No
122    2982.0    2989.8    2995.0    1495.36        2652       4.9    1.8240E+06         No
123    2995.0    3001.0    3008.0    1500.98        3976       3.9    2.7440E+06         No
124    3039.0    3042.8    3048.0    1521.87         401      15.7    2.8050E+05         No
125    3048.0    3053.3    3059.0    1527.12        1761       5.8    1.2350E+06         No
126    3161.0    3169.1    3176.0    1585.04        1585       6.2    1.1530E+06         No
127    3182.0    3183.6    3186.0    1592.29         144      28.1    1.0530E+05         No
128    3186.0    3192.1    3195.0    1596.56         885       8.7    6.4820E+05        Yes
129    3268.0    3274.2    3278.0    1637.61         315      18.6    2.3630E+05         No
130    3302.0    3307.2    3311.0    1654.15         272      21.6    2.0590E+05         No
131    3325.0    3329.1    3333.0    1665.10         386      14.8    2.9450E+05         No
132    3434.0    3440.0    3447.0    1720.56         885       8.7    6.9580E+05         No
133    3530.0    3539.1    3544.0    1770.10         870       9.0    7.0290E+05         No
134    3558.0    3564.8    3568.0    1782.98         448      12.3    3.6420E+05         No
135    3699.0    3705.9    3709.0    1853.55         298      15.0    2.5140E+05         No
136    3769.0    3774.9    3780.0    1888.10         612      10.7    5.2600E+05         No
137    3815.0    3820.1    3826.0    1910.70         351      13.3    3.0550E+05         No
138    3878.0    3883.2    3888.0    1942.22         164      21.8    1.4520E+05         No
139    3964.0    3972.8    3979.0    1987.06         676      10.3    6.1050E+05         No

Line   Nuclide   Isotope   Meta      DPM@ZT       DPM@CT        Atoms@ZT       Error      Accept  Comment
   Energy      DPM@ZT             Fraction   Error   StdDev

  1      BE           7            2.3120E+08    2.3030E+08    2.5590E+13       1.40        u      

   477.00      2.3120E+08            1.00     1.10     0.00
  2      TE         132            1.9760E+05    1.8490E+05    1.3150E+09      18.30        u      

   228.00      1.9760E+05            1.00    18.20     0.00
  3      I         131            9.3560E+05    9.1120E+05    1.5620E+10       5.00        u      

   364.00      9.3560E+05            1.00     4.90     0.00
  4      CS         136            2.9030E+05    2.8570E+05    7.9350E+09       9.40        u      

   820.00      3.8970E+05            1.00     8.60     0.00
  1234.00      1.5160E+06            1.00    15.60     0.00
  1048.00      4.7440E+04           -1.00     0.00     0.00
  5      LA         140            7.4270E+05    6.5430E+05    2.5890E+09       6.60        u      

   487.00      7.5550E+05            1.00    12.70     0.00
   816.00      5.6960E+05            1.00    18.80     0.00
   868.00      4.8440E+06            1.00    15.20     0.00
  1597.00      7.7120E+05            1.00     8.70     0.00
  6      PM         151            3.5990E+06    3.0070E+06    8.8420E+09      17.30        u      

   276.00      3.5990E+06            1.00    17.30     0.00
  7      TB         161            3.8970E+06    3.7790E+06    5.5930E+10       9.90        u      

    75.00      4.0510E+06            1.00     9.70     0.00
    49.00      1.5510E+06           -1.00     0.00     0.00
  8      W         187            8.5940E+06    6.9420E+06    1.7780E+10       3.50        u      

   480.00      6.3890E+06            1.00     4.70     0.00
   618.00      4.5180E+07            1.00     2.60     0.00
  9      PB         211            9.5580E+10    1.9810E+07    4.9770E+12       4.60        u      

   405.00      9.5580E+10            1.00     4.50     0.00
  10      PA         231            6.8420E+08    1.2400E+08    1.7010E+19       2.70        u      

   300.00      7.1830E+08            0.32     1.30     0.00
   302.00      6.8200E+08            1.00     2.60     0.00
  11      AC         227            2.7860E+10    2.7860E+10    4.6010E+17       3.10        u      

   300.00      2.7860E+10            0.69     1.30     0.00
  12      U         237            1.4260E+07    1.3820E+07    2.0000E+11       2.10        u      

    97.00      1.4260E+07            1.00     1.80     0.00
  13      NP         239            1.6680E+06    1.5240E+06    8.1600E+09      18.30        u      

   228.00      1.6680E+06            1.00    18.20     0.00


Page:2                 anlresprint.php, Ver 1.4, 25FEB2011                 Printed:Oct 17 2018 17:15:55
==============================================================================================================
SN:289_087.18 Shot: 1139 Jug: 057 Mass: 278 Ctr:  76 ROT: 289.9118 ZT: 289.5990(2018) CT: 289.8998 CL:    15
NCHAN:4096   Live:    15.0   True:    17.2   Delta: 0.3068   Rate:645773   Gain: 0.50021   Zero: -0.17000
Type:  3  User: 76  Gain:  0  Pos:  5  Shelf: 18   LP Prog/Yr/Seq:0/0/0  Timestamp: 2018-10-16 21:55:02.0
Count acc/rej: default    QAStatus: pending    QA'd by: 00    QA Time:     QA Comm:  
--------------------------------------------------------------------------------------------------------------

==============================================================================================================
Analysis Results:

Analysis Code: specanl  Peaks: 156  Overall QA:    0.00  Library: 9  CD: 71  Timestamp:2018-10-16 21:55:02.0 
Analysis ZT: 289.5990      AnalysisZY: 2018     Original: Yes     Comment: 

Peak   Centroid    Energy     NetArea     Error     QFit    Gammas/Min      FWHM    Identified
  1     116.75      58.23       23355       1.1      1.0    7.6957E+06      0.86        No
  2     150.04      74.88        4868       9.4      1.3    8.4956E+05      0.92       Yes
  3     175.88      87.80       25886       1.2      7.7    3.0215E+06      1.02        No
  4     194.47      97.11       20869       1.2      1.0    2.2581E+06      0.94       Yes
  5     239.07     119.41        8531       4.8      2.6    7.9771E+05      1.05        No
  6     247.51     123.64        2240      13.1      1.0    2.0638E+05      1.04        No
  7     261.60     130.68      104751       0.5      8.3    9.6724E+06      0.96        No
  8     347.91     173.86        2864      21.5      1.0    2.7855E+05      2.10        No
  9     357.34     178.58        7624       3.7      3.5    7.5946E+05      1.01        No
 10     364.45     182.13       13545       2.1      1.0    1.3731E+06      1.01        No
 11     413.08     206.46       28961       1.1      1.2    3.2809E+06      1.03        No
 12     423.31     211.58        1330      21.4      1.0    1.5402E+05      1.28        No
 13     433.24     216.54        1651      23.2      1.0    1.9511E+05      1.62        No
 14     442.54     221.19         855      26.9      1.0    1.0302E+05      0.99        No
 15     457.07     228.46        1911      15.2      1.0    2.3683E+05      1.17       Yes
