
Page: 1                 anlresprint.php, Ver 1.4, 25FEB2011                 Printed: Oct 17 2018 17:22:18
==============================================================================================================
SN:290_024.18 Shot: 1139 Jug: 057 Mass: 190 Ctr:  76 ROT: 290.4112 ZT: 289.5990(2018) CT: 290.3888 CL:    30
NCHAN:4096   Live:    30.0   True:    32.2   Delta: 0.8010   Rate:331871   Gain: 0.50021   Zero: -0.17000
Type:  3  User: 76  Gain:  0  Pos:  4  Shelf: 18   LP Prog/Yr/Seq:0/0/0  Timestamp: 2018-10-17 09:54:02.0
Count acc/rej: default    QAStatus: pending    QA'd by: 00    QA Time:     QA Comm:  
--------------------------------------------------------------------------------------------------------------

==============================================================================================================
Analysis Results:

Analysis Code: raygun  Peaks: 129  Overall QA:    0.00  Library: 9  CD: 71  Timestamp:2018-10-17 09:54:02.0 
Analysis ZT: 289.5990      AnalysisZY: 2018     Original: Yes     Comment: 

Peak    Start    Centroid     End     Energy     NetArea     Error    Gammas/Min    Identified
  1     113.0     117.0     120.0      58.34       10837       2.2    1.6970E+06         No
  2     144.0     145.8     148.0      72.77        1311      13.9    1.1750E+05         No
  3     148.0     150.0     151.0      74.88        2849       7.4    2.3740E+05        Yes
  4     168.0     169.9     172.0      84.82        1871      13.4    1.1380E+05        Yes
  5     172.0     176.0     179.0      87.88       14220       2.3    7.9080E+05         No
  6     192.0     194.8     196.0      97.26        4879       5.5    2.5180E+05        Yes
  7     235.0     239.1     243.0     119.45        6305       5.9    2.8140E+05         No
  8     247.0     247.9     249.0     123.82        3094       7.5    1.3610E+05        Yes
  9     260.0     261.8     264.0     130.81       46063       0.9    2.0310E+06         No
 10     307.0     311.2     313.0     155.47       10743       3.0    4.7720E+05         No
 11     355.0     357.4     360.0     178.58        2615      10.7    1.2440E+05         No
 12     362.0     364.7     369.0     182.24       66982       0.7    3.2440E+06         No
 13     379.0     380.6     381.0     190.19        1800      13.8    9.0530E+04         No
 14     384.0     386.0     387.0     192.90        3748       6.3    1.9090E+05         No
 15     411.0     413.1     417.0     206.49       25890       1.3    1.4010E+06         No
 16     431.0     433.9     436.0     216.88        5127       6.1    2.8970E+05         No
 17     497.0     498.3     500.0     249.07        2451       9.2    1.5660E+05        Yes
 18     504.0     503.4     504.0     251.66         769      21.7    4.9560E+04         No
 19     507.0     510.0     511.0     254.94       18090       7.0    1.1800E+06         No
 20     521.0     523.1     524.0     261.47        2932       7.0    1.9560E+05         No
 21     527.0     531.2     534.0     265.53      113588       0.6    7.6800E+06         No
 22     534.0     536.1     541.0     267.98        5962       4.9    4.0640E+05         No
 23     549.0     552.1     555.0     276.02        3961       6.3    2.7720E+05         No
 24     555.0     557.9     560.0     278.89       15894       1.8    1.1220E+06         No
 25     578.0     580.4     584.0     290.13       10253       3.1    7.4990E+05         No
 26     594.0     600.2     603.0     300.04       57945       0.9    4.3660E+06        Yes
 27     603.0     604.9     607.0     302.43       10318       3.1    7.8290E+05        Yes
 28     610.0     614.8     616.0     307.35        2153      15.3    1.6570E+05         No
 29     656.0     658.1     663.0     329.01        2165      12.0    1.7700E+05        Yes
 30     691.0     693.0     695.0     346.50        4942       4.0    4.2310E+05         No
 31     727.0     728.6     730.0     364.27        1049      13.3    9.3870E+04        Yes
 32     742.0     744.0     749.0     372.00        5059       4.0    4.6120E+05         No
 33     757.0     759.7     762.0     379.84        2061       7.3    1.9140E+05         No
 34     794.0     796.1     798.0     398.06         876      16.1    8.4840E+04         No
 35     807.0     809.8     812.0     404.91        1772       8.1    1.7450E+05         No
 36     820.0     823.1     826.0     411.54        3447       5.5    3.4460E+05        Yes
 37     859.0     865.3     868.0     432.65        4196       4.3    4.3960E+05        Yes
 38     885.0     888.7     892.0     444.35        2782       6.9    2.9890E+05        Yes
 39     892.0     894.6     896.0     447.31        1258      10.7    1.3600E+05         No
 40     901.0     906.5     909.0     453.29        1053      14.0    1.1530E+05         No
 41     917.0     921.4     923.0     460.73         645      22.0    7.1730E+04         No
 42     923.0     929.3     936.0     464.67      117156       0.5    1.3130E+07         No
 43     948.0     954.8     958.0     477.42       48051       0.9    5.5220E+06        Yes
 44     958.0     960.6     964.0     480.35        6761       3.3    7.8150E+05        Yes
 45     964.0     967.1     972.0     483.60        3221       5.8    3.7460E+05         No
 46     972.0     974.1     977.0     487.06        1807       7.2    2.1160E+05        Yes
 47     988.0     992.7     996.0     496.40        2997       6.6    3.5720E+05        Yes
 48     996.0     997.8    1001.0     498.92         788      13.7    9.4430E+04         No
 49    1004.0    1021.9    1030.0     511.02      512532       0.3    6.2790E+07         No
 50    1030.0    1031.5    1034.0     515.79       17727       2.2    2.1910E+06         No
 51    1034.0    1036.2    1043.0     518.14       36182       1.4    4.4900E+06         No
