
Page: 1                 anlresprint.php, Ver 1.4, 25FEB2011                 Printed: Oct 17 2018 17:14:54
==============================================================================================================
SN:289_086.18 Shot: 1139 Jug: 057 Mass: 190 Ctr:  76 ROT: 289.8982 ZT: 289.5990(2018) CT: 289.8852 CL:    15
NCHAN:4096   Live:    15.0   True:    18.7   Delta: 0.2927   Rate:1010711   Gain: 0.50021   Zero: -0.17000
Type:  3  User: 76  Gain:  0  Pos:  4  Shelf: 18   LP Prog/Yr/Seq:0/0/0  Timestamp: 2018-10-16 21:35:01.0
Count acc/rej: default    QAStatus: pending    QA'd by: 00    QA Time:     QA Comm:  
--------------------------------------------------------------------------------------------------------------

==============================================================================================================
Analysis Results:

Analysis Code: raygun  Peaks: 132  Overall QA:    0.00  Library: 9  CD: 71  Timestamp:2018-10-16 21:35:01.0 
Analysis ZT: 289.5990      AnalysisZY: 2018     Original: Yes     Comment: 

Peak    Start    Centroid     End     Energy     NetArea     Error    Gammas/Min    Identified
  1     113.0     116.9     120.0      58.29       21998       1.5    7.6070E+06         No
  2     144.0     145.7     146.0      72.72        1626      14.1    3.2150E+05         No
  3     148.0     150.0     153.0      74.85        4797       6.7    8.8190E+05        Yes
  4     173.0     175.9     179.0      87.84       25529       1.5    3.1330E+06         No
  5     188.0     194.6     198.0      97.16       37915       2.0    4.3160E+06        Yes
  6     236.0     239.1     242.0     119.41        2893      13.3    2.8470E+05         No
  7     257.0     261.7     267.0     130.75      101116       0.6    9.8260E+06         No
  8     308.0     311.1     316.0     155.43       34420       1.3    3.3700E+06         No
  9     354.0     357.3     361.0     178.54        6559       6.7    6.8750E+05         No
 10     361.0     364.5     371.0     182.15      243497       0.3    2.5980E+07         No
 11     379.0     380.3     382.0     190.06        5781       5.1    6.4050E+05         No
 12     385.0     385.9     387.0     192.87        4765       6.2    5.3480E+05         No
 13     411.0     413.1     415.0     206.46       17739       2.1    2.1150E+06         No
 14     432.0     434.0     436.0     216.93       13133       2.8    1.6360E+06         No
 15     496.0     498.0     500.0     248.92        5178       5.9    7.2860E+05         No
 16     502.0     503.3     505.0     251.58        4242       6.8    6.0270E+05         No
 17     507.0     508.7     510.0     254.29        4538       6.1    6.5080E+05         No
 18     521.0     522.9     526.0     261.39        6698       4.3    9.8430E+05         No
 19     528.0     531.2     541.0     265.53       85049       0.7    1.2670E+07         No
 20     555.0     557.8     561.0     278.85       25658       1.5    3.9930E+06         No
 21     578.0     580.3     584.0     290.09       17561       2.5    2.8300E+06         No
 22     594.0     600.2     603.0     300.04       41832       1.2    6.9470E+06        Yes
 23     603.0     605.0     608.0     302.44       18731       2.2    3.1330E+06        Yes
 24     610.0     614.9     616.0     307.39        3894       8.4    6.6080E+05         No
 25     657.0     659.4     663.0     329.65        5067       7.0    9.1480E+05        Yes
 26     676.0     678.2     680.0     339.07        2371      10.0    4.3890E+05         No
 27     690.0     693.0     697.0     346.46       11371       2.5    2.1450E+06         No
