
Page: 1                 anlresprint.php, Ver 1.4, 25FEB2011                 Printed: Oct 17 2018 17:20:33
==============================================================================================================
SN:290_014.18 Shot: 1139 Jug: 057 Mass: 278 Ctr:  76 ROT: 290.1941 ZT: 289.5990(2018) CT: 290.1715 CL:    30
NCHAN:4096   Live:    30.0   True:    32.6   Delta: 0.5838   Rate:386540   Gain: 0.50021   Zero: -0.17000
Type:  3  User: 76  Gain:  0  Pos:  5  Shelf: 18   LP Prog/Yr/Seq:0/0/0  Timestamp: 2018-10-17 04:41:01.0
Count acc/rej: default    QAStatus: pending    QA'd by: 00    QA Time:     QA Comm:  
--------------------------------------------------------------------------------------------------------------

==============================================================================================================
Analysis Results:

Analysis Code: raygun  Peaks: 150  Overall QA:    0.00  Library: 9  CD: 71  Timestamp:2018-10-17 04:41:01.0 
Analysis ZT: 289.5990      AnalysisZY: 2018     Original: Yes     Comment: 

Peak    Start    Centroid     End     Energy     NetArea     Error    Gammas/Min    Identified
  1     113.0     116.9     119.0      58.30       20335       1.4    3.2150E+06         No
  2     143.0     145.7     148.0      72.73        1776      13.3    1.6060E+05         No
  3     148.0     150.1     151.0      74.89        3149       7.1    2.6450E+05        Yes
  4     169.0     176.0     180.0      87.85       25703       1.5    1.4420E+06         No
  5     191.0     194.6     196.0      97.16        9272       3.2    4.8280E+05        Yes
  6     235.0     239.1     241.0     119.42       11056       3.6    4.9760E+05         No
  7     247.0     247.8     251.0     123.79        3966       7.0    1.7590E+05         No
  8     258.0     261.7     266.0     130.76       90185       0.6    4.0090E+06         No
  9     355.0     357.4     359.0     178.58        6364       5.2    3.0520E+05         No
 10     363.0     364.4     366.0     182.11        8254       3.7    4.0270E+05         No
 11     407.0     413.1     416.0     206.45       44637       0.9    2.4340E+06         No
 12     431.0     432.2     435.0     216.04        2049      11.1    1.1630E+05        Yes
 13     456.0     457.4     458.0     228.64         970      21.0    5.7920E+04        Yes
 14     496.0     497.9     501.0     248.90        4636       5.6    2.9840E+05         No
 15     505.0     510.2     512.0     255.03       23195       6.7    1.5260E+06         No
 16     519.0     522.9     526.0     261.37        7116       4.2    4.7830E+05         No
 17     526.0     531.1     534.0     265.49      192836       0.4    1.3140E+07         No
 18     534.0     535.8     539.0     267.85        7073       4.4    4.8590E+05         No
 19     555.0     557.8     561.0     278.84       25104       1.3    1.7870E+06         No
 20     564.0     565.1     567.0     282.51        1612      16.6    1.1610E+05         No
 21     578.0     580.2     584.0     290.05       16685       2.2    1.2300E+06         No
 22     586.0     588.7     590.0     294.29        1779      13.2    1.3290E+05         No
 23     596.0     600.1     603.0     300.01       97602       0.6    7.4140E+06        Yes
 24     603.0     604.8     609.0     302.37       15457       2.3    1.1820E+06        Yes
 25     613.0     614.9     616.0     307.38        2380       8.1    1.8470E+05         No
 26     656.0     657.5     660.0     328.74        1569      14.4    1.2920E+05        Yes
 27     676.0     678.1     680.0     339.03        2900       7.8    2.4550E+05        Yes
 28     690.0     692.9     695.0     346.44       10775       2.3    9.2990E+05         No
 29     726.0     728.7     730.0     364.34        3047       6.2    2.7500E+05        Yes
 30     745.0     746.7     749.0     373.35         893      18.2    8.2330E+04         No
 31     758.0     759.7     764.0     379.84        8216       4.5    7.6930E+05         No
 32     774.0     775.8     777.0     387.91        1049      13.0    1.0000E+05        Yes
 33     793.0     796.0     799.0     398.00        2913       6.6    2.8460E+05         No
 34     799.0     800.2     803.0     400.12         871      18.7    8.5480E+04         No
 35     807.0     809.7     813.0     404.85        4121       4.8    4.0900E+05        Yes
 36     819.0     820.5     823.0     410.25        1542      10.8    1.5500E+05         No
 37     836.0     838.8     841.0     419.41         786      16.8    8.0650E+04         No
 38     844.0     846.1     848.0     423.04        1438       9.6    1.4880E+05         No
 39     862.0     865.2     869.0     432.61        7593       2.6    8.0200E+05        Yes
 40     885.0     888.4     893.0     444.22        5317       4.2    5.7580E+05        Yes
 41     893.0     894.4     897.0     447.23        1746       9.0    1.9020E+05         No
 42     902.0     906.6     908.0     453.32        2244       8.0    2.4760E+05         No
 43     926.0     929.2     932.0     464.62       13700       1.7    1.5470E+06         No
 44     948.0     954.6     958.0     477.35       84904       0.7    9.8370E+06        Yes
 45     958.0     961.0     964.0     480.55        7426       3.1    8.6580E+05         No
 46     964.0     967.1     971.0     483.58        5423       4.0    6.3600E+05         No
 47     971.0     974.0     977.0     487.01        2477       7.6    2.9240E+05        Yes
 48     988.0     992.7     995.0     496.38        3617       6.2    4.3480E+05        Yes
 49    1003.0    1021.8    1033.0     510.95      614597       0.3    7.5900E+07         No
 50    1033.0    1036.1    1043.0     518.08       61176       1.1    7.6540E+06         No
 51    1043.0    1047.6    1050.0     523.83        6163       3.0    7.7920E+05         No
 52    1078.0    1082.4    1087.0     541.25        6341       2.9    8.2660E+05         No
 53    1089.0    1092.5    1096.0     546.31        1845       7.5    2.4260E+05         No
 54    1110.0    1112.8    1116.0     556.47         738      15.0    9.8730E+04         No
 55    1118.0    1120.0    1122.0     560.07         823      13.1    1.1080E+05         No
 56    1124.0    1130.7    1132.0     565.41        3709       5.1    5.0380E+05         No
 57    1132.0    1134.5    1139.0     567.33        5084       4.2    6.9270E+05         No
 58    1139.0    1144.7    1150.0     572.41       22317       1.3    3.0660E+06         No
 59    1150.0    1154.2    1159.0     577.19       10751       2.0    1.4890E+06         No
 60    1159.0    1162.1    1167.0     581.10        1359      11.4    1.8930E+05         No
 61    1167.0    1169.5    1172.0     584.81        1044      11.0    1.4640E+05         No
 62    1175.0    1176.3    1178.0     588.22         468      19.9    6.5960E+04         No
 63    1180.0    1185.3    1188.0     592.74         680      25.8    9.6600E+04         No
 64    1188.0    1192.0    1197.0     596.08        2881       5.3    4.1120E+05         No
 65    1202.0    1209.4    1211.0     604.78       11555       2.0    1.6720E+06         No
 66    1211.0    1213.7    1217.0     606.94       36554       1.0    5.3060E+06         No
 67    1221.0    1223.8    1226.0     611.97        3285       3.9    4.8060E+05         No
 68    1232.0    1236.1    1240.0     618.15        7706       2.5    1.1380E+06         No
 69    1240.0    1243.4    1247.0     621.77        3865       3.8    5.7400E+05         No
 70    1259.0    1265.5    1271.0     632.87        5714       3.1    8.6270E+05         No
 71    1285.0    1289.4    1295.0     644.81        2651       4.8    4.0730E+05         No
 72    1306.0    1307.3    1309.0     653.75         584      14.4    9.0860E+04         No
 73    1322.0    1326.7    1329.0     663.48        1521       8.3    2.4010E+05        Yes
 74    1329.0    1331.8    1338.0     666.01        6340       3.0    1.0040E+06        Yes
 75    1352.0    1356.0    1359.0     678.14        1042      13.7    1.6770E+05         No
 76    1365.0    1368.8    1371.0     684.53        1068       8.4    1.7340E+05        Yes
 77    1375.0    1379.0    1382.0     689.61        5566       2.8    9.0990E+05         No
 78    1393.0    1394.5    1396.0     697.35         334      22.3    5.5230E+04        Yes
 79    1412.0    1415.3    1417.0     707.77         510      17.5    8.5450E+04         No
 80    1419.0    1423.1    1427.0     711.70         633      13.7    1.0640E+05         No
 81    1433.0    1437.9    1442.0     719.07         794      11.2    1.3490E+05         No
 82    1498.0    1503.7    1506.0     751.99         576      21.7    1.0190E+05        Yes
 83    1506.0    1508.1    1510.0     754.18         515      15.3    9.1400E+04        Yes
 84    1544.0    1547.4    1550.0     773.84         571      14.7    1.0370E+05        Yes
 85    1554.0    1555.9    1559.0     778.10         539      15.9    9.8320E+04        Yes
 86    1559.0    1568.0    1574.0     784.14       27757       1.3    5.1030E+06        Yes
 87    1628.0    1631.2    1636.0     815.75         657      12.6    1.2510E+05        Yes
 88    1636.0    1638.9    1643.0     819.62        1075       8.4    2.0580E+05        Yes
 89    1648.0    1657.0    1662.0     828.66        8625       2.3    1.6670E+06        Yes
 90    1667.0    1670.3    1672.0     835.32         509      16.3    9.9040E+04         No
 91    1679.0    1682.7    1687.0     841.51         508      16.2    9.9530E+04         No
 92    1687.0    1692.2    1697.0     846.28        2103       5.8    4.1450E+05         No
 93    1711.0    1717.2    1721.0     858.81        1659       6.9    3.3140E+05         No
 94    1721.0    1724.9    1728.0     862.63         895      11.4    1.7950E+05         No
