
Page: 1                 anlresprint.php, Ver 1.4, 25FEB2011                 Printed: Oct 17 2018 17:18:05
==============================================================================================================
SN:290_004.18 Shot: 1139 Jug: 057 Mass: 278 Ctr:  76 ROT: 290.0410 ZT: 289.5990(2018) CT: 290.0294 CL:    15
NCHAN:4096   Live:    15.0   True:    16.7   Delta: 0.4362   Rate:500610   Gain: 0.50021   Zero: -0.17000
Type:  3  User: 76  Gain:  0  Pos:  5  Shelf: 18   LP Prog/Yr/Seq:0/0/0  Timestamp: 2018-10-17 01:01:04.0
Count acc/rej: default    QAStatus: pending    QA'd by: 00    QA Time:     QA Comm:  
--------------------------------------------------------------------------------------------------------------

==============================================================================================================
Analysis Results:

Analysis Code: raygun  Peaks: 124  Overall QA:    0.00  Library: 9  CD: 71  Timestamp:2018-10-17 01:01:03.0 
Analysis ZT: 289.5990      AnalysisZY: 2018     Original: Yes     Comment: 

Peak    Start    Centroid     End     Energy     NetArea     Error    Gammas/Min    Identified
  1     114.0     116.9     120.0      58.30       15924       1.6    5.1220E+06         No
  2     141.0     145.7     148.0      72.73        1373      15.9    2.5260E+05         No
  3     173.0     175.9     180.0      87.84       19678       1.5    2.2470E+06         No
  4     190.0     194.5     196.0      97.12        8895       2.9    9.4240E+05        Yes
  5     231.0     239.1     241.0     119.42        7184       4.9    6.5770E+05         No
  6     245.0     247.8     249.0     123.80        2402      12.0    2.1660E+05         No
  7     258.0     261.7     268.0     130.75       69166       0.6    6.2540E+06         No
  8     352.0     357.2     359.0     178.51        4433       6.2    4.3230E+05         No
  9     362.0     364.4     366.0     182.11        7946       3.3    7.8860E+05         No
 10     410.0     413.1     418.0     206.45       25356       1.3    2.8120E+06         No
 11     495.0     497.9     500.0     248.91        3946       5.4    5.1660E+05         No
 12     506.0     508.6     511.0     254.26        6605       3.6    8.8130E+05         No
 13     519.0     522.9     527.0     261.39        5587       4.4    7.6400E+05         No
 14     527.0     531.1     539.0     265.51      112018       0.5    1.5530E+07         No
 15     555.0     557.8     562.0     278.83       17652       1.6    2.5560E+06         No
 16     578.0     580.2     584.0     290.03       11313       2.5    1.6960E+06         No
 17     586.0     588.1     591.0     294.03        1185      14.8    1.7990E+05        Yes
 18     595.0     600.1     603.0     300.00       55027       0.9    8.5020E+06        Yes
 19     603.0     604.8     608.0     302.34       10500       2.7    1.6330E+06        Yes
 20     612.0     614.9     616.0     307.39        1902       9.9    3.0030E+05         No
 21     674.0     677.9     680.0     338.94        2342      10.9    4.0320E+05         No
 22     690.0     692.9     695.0     346.42        8246       2.6    1.4470E+06         No
 23     726.0     728.8     731.0     364.36        2610       6.2    4.7910E+05        Yes
 24     758.0     759.7     762.0     379.83        2351       5.9    4.4770E+05         No
 25     774.0     775.4     778.0     387.70         696      21.4    1.3500E+05         No
 26     794.0     795.9     798.0     397.97        1706       7.9    3.3890E+05         No
 27     806.0     809.7     811.0     404.84        2413       5.8    4.8720E+05        Yes
 28     819.0     821.1     824.0     410.55         952      16.9    1.9470E+05         No
 29     837.0     838.3     840.0     419.18         555      19.9    1.1590E+05         No
 30     843.0     846.2     848.0     423.10         986      11.8    2.0750E+05         No
 31     862.0     865.2     868.0     432.60        5616       2.9    1.2070E+06         No
 32     884.0     888.5     892.0     444.25        4014       4.5    8.8420E+05         No
 33     892.0     894.1     896.0     447.08        1118      12.3    2.4770E+05         No
 34     904.0     906.6     910.0     453.33        1594       7.7    3.5790E+05         No
 35     927.0     929.2     935.0     464.60        9162       2.1    2.1050E+06         No
 36     947.0     954.6     958.0     477.34       67609       0.8    1.5930E+07        Yes
 37     958.0     960.9     965.0     480.51        4182       4.5    9.9170E+05        Yes
 38     965.0     967.1     972.0     483.60        3280       5.1    7.8250E+05         No
 39     972.0     973.9     977.0     486.97        1067      12.1    2.5620E+05        Yes
 40     989.0     991.9     995.0     495.98        1768      10.2    4.3180E+05         No
 41    1006.0    1021.7    1033.0     510.90      353547       0.4    8.8800E+07         No
 42    1033.0    1036.0    1044.0     518.07       33728       1.5    8.5830E+06         No
 43    1044.0    1047.5    1050.0     523.78        3997       3.5    1.0280E+06         No
 44    1079.0    1082.4    1087.0     541.24        5157       3.2    1.3670E+06         No
 45    1089.0    1092.5    1096.0     546.31        1426      10.2    3.8150E+05         No
 46    1119.0    1120.3    1121.0     560.20         428      20.5    1.1720E+05         No
 47    1129.0    1130.7    1132.0     565.42        1847       7.3    5.1020E+05         No
 48    1132.0    1134.5    1137.0     567.34        2609       5.8    7.2320E+05         No
 49    1140.0    1144.6    1148.0     572.37       11441       1.8    3.1970E+06         No
 50    1150.0    1154.2    1157.0     577.16        5342       2.9    1.5040E+06         No
 51    1160.0    1162.2    1163.0     581.16         610      12.7    1.7280E+05         No
 52    1188.0    1192.0    1197.0     596.10        1961       7.3    5.6920E+05         No
 53    1201.0    1209.6    1211.0     604.90        5958       2.9    1.7540E+06         No
 54    1211.0    1214.0    1217.0     607.07       21073       1.4    6.2230E+06         No
 55    1221.0    1223.8    1226.0     611.99        2661       4.4    7.9180E+05         No
 56    1233.0    1236.0    1240.0     618.09        5419       2.9    1.6280E+06        Yes
 57    1240.0    1243.3    1247.0     621.73        2592       4.8    7.8280E+05         No
 58    1258.0    1265.5    1271.0     632.83        4165       3.6    1.2790E+06         No
 59    1285.0    1289.4    1294.0     644.81        2345       5.0    7.3300E+05         No
 60    1304.0    1307.4    1309.0     653.81         435      18.2    1.3780E+05         No
 61    1322.0    1331.8    1338.0     665.99        3944       4.2    1.2700E+06        Yes
 62    1352.0    1356.9    1360.0     678.57         793      16.4    2.5970E+05         No
 63    1366.0    1368.8    1371.0     684.51         763      12.8    2.5200E+05         No
 64    1375.0    1378.9    1386.0     689.58        4294       3.2    1.4280E+06         No
 65    1413.0    1414.9    1417.0     707.56         285      22.9    9.7060E+04         No
 66    1420.0    1423.0    1426.0     711.62         490      16.8    1.6780E+05         No
 67    1433.0    1435.7    1438.0     717.99         431      18.7    1.4880E+05        Yes
 68    1559.0    1568.2    1575.0     784.26       17956       1.6    6.7150E+06         No
 69    1619.0    1622.1    1625.0     811.24         421      19.7    1.6230E+05        Yes
 70    1629.0    1631.1    1633.0     815.73         293      17.2    1.1370E+05        Yes
 71    1635.0    1639.0    1642.0     819.68         714      10.3    2.7800E+05        Yes
 72    1652.0    1657.1    1662.0     828.72        5114       3.0    2.0110E+06         No
 73    1668.0    1669.5    1671.0     834.92         286      19.8    1.1330E+05         No
 74    1687.0    1692.5    1695.0     846.41        1318       7.4    5.2850E+05         No
 75    1714.0    1716.9    1722.0     858.62         756      10.3    3.0700E+05         No
 76    1722.0    1724.9    1727.0     862.65         494      14.1    2.0150E+05         No
 77    1732.0    1734.2    1739.0     867.28         375      21.0    1.5390E+05        Yes
 78    1739.0    1742.7    1745.0     871.55        2173       4.8    8.9500E+05         No
 79    1797.0    1801.1    1804.0     900.74         329      32.4    1.3950E+05         No
 80    1809.0    1811.9    1815.0     906.14        1273       6.4    5.4340E+05         No
 81    1885.0    1887.1    1890.0     943.77         455      15.4    2.0180E+05         No
 82    1899.0    1901.8    1906.0     951.15         940       8.4    4.2000E+05         No
 83    1940.0    1944.8    1949.0     972.63         679       9.7    3.0990E+05         No
 84    1964.0    1967.9    1971.0     984.18         693      10.3    3.1990E+05         No
 85    1974.0    1980.2    1983.0     990.33        2137       5.2    9.9240E+05         No
 86    2030.0    2032.6    2036.0    1016.57         323      17.7    1.5360E+05         No
 87    2040.0    2044.8    2046.0    1022.64         297      22.4    1.4240E+05         No
 88    2056.0    2063.7    2067.0    1032.12         583      13.1    2.8160E+05         No
 89    2086.0    2090.0    2092.0    1045.25         368      19.6    1.8000E+05         No
 90    2179.0    2183.2    2188.0    1091.88         696      10.6    3.5470E+05         No
 91    2254.0    2259.7    2263.0    1130.15         505      15.7    2.6600E+05         No
 92    2296.0    2298.8    2304.0    1149.73         560      14.6    2.9940E+05         No
 93    2304.0    2307.4    2310.0    1154.01         443      17.8    2.3800E+05        Yes
 94    2339.0    2344.2    2350.0    1172.45         471      16.6    2.5670E+05         No
 95    2359.0    2367.8    2373.0    1184.23        1251       8.4    6.8750E+05         No
 96    2376.0    2379.8    2383.0    1190.22         224      22.1    1.2340E+05         No
 97    2390.0    2392.9    2396.0    1196.78         296      19.9    1.6390E+05         No
 98    2396.0    2400.0    2402.0    1200.35        1006       8.4    5.5870E+05         No
 99    2410.0    2414.6    2418.0    1207.66         321      18.4    1.7920E+05        Yes
100    2421.0    2425.4    2430.0    1213.03         721      11.2    4.0350E+05         No
101    2464.0    2467.2    2470.0    1233.94         338      16.9    1.9210E+05        Yes
102    2513.0    2515.0    2520.0    1257.88         402      13.5    2.3150E+05         No
103    2569.0    2574.6    2579.0    1287.69         523      12.5    3.0690E+05         No
104    2723.0    2724.9    2728.0    1362.86         268      14.3    1.6540E+05         No
105    2748.0    2754.5    2760.0    1377.64         963       8.5    5.9980E+05        Yes
106    2860.0    2863.8    2869.0    1432.33         567      11.8    3.6620E+05         No
107    2928.0    2930.2    2935.0    1465.57         445      13.5    2.9370E+05         No
108    2981.0    2989.8    2994.0    1495.34        1734       6.0    1.1680E+06         No
109    2994.0    3000.8    3005.0    1500.86        2569       4.9    1.7360E+06         No
110    3036.0    3042.7    3046.0    1521.82         345      15.2    2.3640E+05         No
111    3046.0    3053.3    3059.0    1527.10        1135       7.0    7.7980E+05         No
112    3162.0    3168.5    3175.0    1584.74        1083       7.8    7.7100E+05         No
113    3185.0    3191.4    3196.0    1596.22         879       8.6    6.3020E+05        Yes
114    3271.0    3274.9    3279.0    1637.98         241      20.9    1.7730E+05         No
115    3322.0    3330.0    3334.0    1665.53         319      18.1    2.3800E+05         No
116    3435.0    3440.0    3447.0    1720.53         535      11.3    4.1220E+05         No
117    3532.0    3538.4    3545.0    1769.76         569      10.8    4.4990E+05         No
118    3560.0    3564.0    3568.0    1782.56         260      18.3    2.0700E+05         No
119    3699.0    3707.7    3709.0    1854.46         221      24.4    1.8240E+05         No
120    3770.0    3774.4    3783.0    1887.82         416      12.5    3.5000E+05         No
121    3814.0    3820.5    3826.0    1910.89         283      16.0    2.4060E+05         No
122    3880.0    3883.9    3888.0    1942.60         111      25.8    9.6260E+04         No
123    3965.0    3972.7    3978.0    1987.02         532      11.0    4.7010E+05         No
124    4017.0    4024.7    4031.0    2013.03         293      14.5    2.6250E+05         No

Line   Nuclide   Isotope   Meta      DPM@ZT       DPM@CT        Atoms@ZT       Error      Accept  Comment
   Energy      DPM@ZT             Fraction   Error   StdDev

  1      BE           7            1.5420E+08    1.5330E+08    1.7070E+13       1.40        u      

   477.00      1.5420E+08            1.00     1.20     0.00
  2      TE         131       M    4.9240E+05    3.8660E+05    1.2780E+09      33.40        u      

   666.00      3.2060E+06            0.09     4.30     0.00
  1208.00      2.3440E+06            1.00    18.30     0.00
   852.00      1.7770E+05           -1.00     0.00     0.00
  3      I         124            3.8840E+07    3.6130E+07    3.3720E+11       8.60        u      

  1378.00      3.8840E+07            1.00     8.50     0.00
  4      I         126            3.8760E+06    3.7870E+06    1.0480E+11       4.50        u      

   666.00      3.8760E+06            0.99     4.30     0.00
  5      I         131            6.1260E+05    5.9000E+05    1.0230E+10       6.30        u      

   364.00      6.1260E+05            1.00     6.20     0.00
  6      CS         136            3.0650E+05    2.9950E+05    8.3770E+09       9.50        u      

   820.00      2.8520E+05            1.00    10.30     0.00
  1234.00      9.9280E+05            1.00    16.90     0.00
  7      LA         140            7.1600E+05    5.9800E+05    2.4950E+09       6.50        u      

   487.00      6.6830E+05            1.00    12.10     0.00
   816.00      5.7710E+05            1.00    17.20     0.00
   867.00      3.2960E+06            1.00    21.00     0.00
