
Page: 1                 anlresprint.php, Ver 1.4, 25FEB2011                 Printed: Oct 17 2018 17:20:00
==============================================================================================================
SN:290_013.18 Shot: 1139 Jug: 057 Mass: 190 Ctr:  76 ROT: 290.1701 ZT: 289.5990(2018) CT: 290.1465 CL:    30
NCHAN:4096   Live:    30.0   True:    33.9   Delta: 0.5593   Rate:557694   Gain: 0.50021   Zero: -0.17000
Type:  3  User: 76  Gain:  0  Pos:  4  Shelf: 18   LP Prog/Yr/Seq:0/0/0  Timestamp: 2018-10-17 04:07:02.0
Count acc/rej: default    QAStatus: pending    QA'd by: 00    QA Time:     QA Comm:  
--------------------------------------------------------------------------------------------------------------

==============================================================================================================
Analysis Results:

Analysis Code: raygun  Peaks: 143  Overall QA:    0.00  Library: 9  CD: 71  Timestamp:2018-10-17 04:07:02.0 
Analysis ZT: 289.5990      AnalysisZY: 2018     Original: Yes     Comment: 

Peak    Start    Centroid     End     Energy     NetArea     Error    Gammas/Min    Identified
  1     114.0     116.9     118.0      58.32       21035       1.5    3.4080E+06         No
  2     144.0     146.0     148.0      72.84        3156       9.7    2.9160E+05         No
  3     148.0     150.0     151.0      74.89        4452       6.2    3.8360E+05        Yes
  4     167.0     169.7     172.0      84.73        5181       9.0    3.2670E+05        Yes
  5     172.0     176.0     178.0      87.86       27239       1.5    1.5670E+06         No
  6     188.0     194.7     198.0      97.22       31536       3.4    1.6830E+06        Yes
  7     235.0     239.2     244.0     119.47        9293       6.2    4.2880E+05         No
  8     246.0     247.6     249.0     123.67        3451      10.1    1.5690E+05         No
  9     257.0     261.8     266.0     130.79       95189       0.6    4.3390E+06         No
 10     308.0     311.1     314.0     155.44       24939       1.7    1.1450E+06         No
 11     354.0     357.4     359.0     178.59        5296       7.2    2.6050E+05         No
 12     361.0     364.6     369.0     182.19      174477       0.4    8.7340E+06         No
 13     379.0     380.2     383.0     190.02        5051       6.5    2.6240E+05         No
 14     385.0     386.0     389.0     192.91        6980       4.9    3.6760E+05         No
 15     410.0     413.1     416.0     206.47       32054       1.3    1.7930E+06         No
 16     431.0     434.0     436.0     216.94       10429       3.5    6.0950E+05         No
 17     496.0     498.0     500.0     248.93        4629       6.3    3.0560E+05         No
 18     502.0     503.3     505.0     251.59        3145       8.3    2.0960E+05         No
 19     507.0     508.8     510.0     254.32        9301       3.2    6.2580E+05         No
 20     521.0     522.9     527.0     261.40        6614       4.4    4.5600E+05         No
 21     527.0     531.1     534.0     265.51      136374       0.5    9.5330E+06         No
 22     534.0     535.9     538.0     267.90        7714       4.9    5.4360E+05         No
 23     550.0     552.1     555.0     276.00        3938       7.0    2.8490E+05        Yes
 24     555.0     557.9     560.0     278.87       29191       1.3    2.1310E+06         No
 25     578.0     580.2     585.0     290.07       20132       2.2    1.5220E+06         No
 26     587.0     588.5     591.0     294.21        1509      16.1    1.1550E+05         No
 27     594.0     600.2     603.0     300.04       72206       0.8    5.6250E+06        Yes
 28     603.0     604.9     609.0     302.43       20352       2.1    1.5970E+06        Yes
 29     611.0     612.1     617.0     306.01        5109      11.7    4.0500E+05         No
 30     656.0     659.1     661.0     329.53        4323       9.0    3.6590E+05        Yes
 31     676.0     678.2     680.0     339.09        2522       9.9    2.1900E+05        Yes
 32     691.0     693.0     695.0     346.49       10961       2.5    9.7010E+05         No
 33     726.0     728.8     731.0     364.38        3126       7.0    2.8930E+05        Yes
 34     741.0     744.1     749.0     372.01        6068       4.6    5.7200E+05         No
 35     758.0     760.0     762.0     379.97        2999       6.9    2.8810E+05         No
 36     794.0     795.9     798.0     397.95        1819       9.2    1.8220E+05         No
 37     807.0     809.9     811.0     404.93        3292       5.6    3.3510E+05        Yes
 38     819.0     822.8     825.0     411.41        4571       6.0    4.7240E+05        Yes
 39     845.0     846.1     850.0     423.07        1777      13.7    1.8850E+05         No
 40     860.0     860.7     862.0     430.38         654      21.7    7.0550E+04         No
 41     862.0     865.3     868.0     432.66        8757       2.8    9.4870E+05        Yes
 42     884.0     888.6     896.0     444.32       10167       5.1    1.1290E+06        Yes
 43     901.0     906.6     909.0     453.32        3341       8.5    3.7810E+05         No
 44     921.0     929.3     936.0     464.66      209078       0.4    2.4220E+07         No
 45     947.0     954.6     965.0     477.35      102335       0.6    1.2160E+07        Yes
 46     965.0     967.2     972.0     483.66        4129       5.6    4.9670E+05         No
 47     972.0     974.0     978.0     487.05        2248       9.1    2.7220E+05        Yes
 48     988.0     992.2     996.0     496.16        2572      10.1    3.1690E+05        Yes
 49     996.0     997.6     999.0     498.85        1201      13.0    1.4870E+05         No
 50    1008.0    1021.9    1030.0     510.99      761529       0.3    9.6450E+07         No
 51    1030.0    1031.5    1034.0     515.81       29843       1.8    3.8130E+06         No
 52    1034.0    1036.1    1043.0     518.11       44704       1.4    5.7360E+06         No
 53    1043.0    1047.8    1050.0     523.93        5939       3.3    7.7010E+05         No
 54    1068.0    1070.7    1072.0     535.39         705      19.9    9.3340E+04        Yes
 55    1076.0    1081.2    1086.0     540.64       23748       1.4    3.1710E+06         No
 56    1090.0    1092.7    1096.0     546.39        1134      12.3    1.5300E+05         No
 57    1118.0    1120.0    1122.0     560.09         789      16.4    1.0890E+05         No
 58    1124.0    1134.3    1141.0     567.22       39493       1.1    5.5170E+06         No
 59    1141.0    1144.7    1150.0     572.43       16966       1.8    2.3910E+06         No
 60    1150.0    1154.2    1158.0     577.18        6839       2.8    9.7120E+05         No
 61    1160.0    1162.2    1166.0     581.17         935      14.4    1.3360E+05         No
 62    1168.0    1169.8    1172.0     585.00        1041      10.4    1.4970E+05         No
 63    1190.0    1192.0    1196.0     596.07        2784       6.4    4.0750E+05         No
 64    1202.0    1209.7    1211.0     604.92        7076       3.0    1.0500E+06         No
 65    1211.0    1214.0    1218.0     607.08       26708       1.3    3.9770E+06         No
 66    1220.0    1223.8    1227.0     611.98        3779       4.1    5.6690E+05         No
 67    1230.0    1236.1    1241.0     618.16        9046       2.5    1.3700E+06         No
 68    1241.0    1243.3    1248.0     621.75        4708       3.9    7.1690E+05         No
 69    1261.0    1265.6    1270.0     632.91        6460       3.1    1.0000E+06         No
 70    1286.0    1289.8    1294.0     644.98        3462       4.4    5.4570E+05         No
 71    1303.0    1307.9    1311.0     654.04        1328      11.4    2.1210E+05         No
 72    1320.0    1326.2    1330.0     663.23       18528       1.6    2.9980E+06         No
 73    1330.0    1331.8    1338.0     666.01        4453       4.2    7.2330E+05         No
 74    1351.0    1356.0    1361.0     678.13        1799      10.7    2.9700E+05         No
 75    1364.0    1368.9    1372.0     684.58        1012      11.8    1.6860E+05        Yes
 76    1375.0    1379.0    1382.0     689.63        5935       3.0    9.9510E+05         No
 77    1392.0    1395.6    1399.0     697.92        1907       7.6    3.2330E+05        Yes
 78    1420.0    1423.1    1425.0     711.67         632      17.8    1.0900E+05         No
 79    1433.0    1436.1    1442.0     718.17         762      26.7    1.3260E+05        Yes
 80    1543.0    1548.2    1551.0     774.26         705      21.7    1.3140E+05        Yes
 81    1562.0    1568.3    1575.0     784.30       24055       1.5    4.5360E+06        Yes
 82    1630.0    1632.9    1637.0     816.62        1231      10.1    2.4080E+05        Yes
 83    1637.0    1639.0    1641.0     819.65         691      11.0    1.3560E+05        Yes
 84    1652.0    1657.1    1661.0     828.74        5849       3.2    1.1600E+06        Yes
 85    1688.0    1692.5    1695.0     846.45        1852       6.3    3.7440E+05         No
 86    1713.0    1717.5    1722.0     858.95        1962       7.4    4.0190E+05         No
 87    1722.0    1724.8    1727.0     862.57         798      14.8    1.6420E+05         No
 88    1733.0    1734.9    1739.0     867.64         442      19.7    9.1420E+04        Yes
 89    1739.0    1742.8    1746.0     871.62        2616       4.7    5.4310E+05         No
 90    1759.0    1763.1    1767.0     881.76        1216       8.8    2.5530E+05         No
 91    1795.0    1799.0    1805.0     899.69        6539       2.7    1.3980E+06         No
 92    1809.0    1812.1    1815.0     906.27        1663       7.1    3.5790E+05         No
 93    1881.0    1887.1    1890.0     943.76         649      15.3    1.4530E+05         No
 94    1899.0    1901.4    1906.0     950.93        1286       8.8    2.8980E+05         No
 95    1928.0    1934.7    1936.0     967.60         716      23.2    1.6390E+05        Yes
 96    1942.0    1945.1    1948.0     972.79         969      10.2    2.2320E+05         No
 97    1965.0    1967.8    1971.0     984.14         723      12.1    1.6820E+05         No
 98    1974.0    1980.2    1986.0     990.32        2926       4.9    6.8510E+05         No
 99    2029.0    2032.2    2035.0    1016.37         489      15.5    1.1740E+05         No
100    2038.0    2044.2    2047.0    1022.37         717      17.6    1.7300E+05         No
101    2056.0    2063.7    2067.0    1032.12        9956       2.2    2.4240E+06         No
102    2086.0    2093.1    2098.0    1046.82        4582       3.6    1.1310E+06        Yes
103    2180.0    2182.7    2189.0    1091.64        1164      10.3    2.9900E+05         No
104    2198.0    2200.0    2206.0    1100.30         643      12.5    1.6630E+05         No
105    2253.0    2259.9    2263.0    1130.27         675      20.0    1.7910E+05         No
106    2296.0    2303.1    2313.0    1151.86        1364      18.5    3.6870E+05         No
107    2337.0    2338.0    2340.0    1169.31         232      42.0    6.3550E+04         No
108    2340.0    2344.2    2351.0    1172.42         654      16.7    1.7970E+05         No
109    2361.0    2367.1    2371.0    1183.89        1494       8.0    4.1390E+05         No
110    2389.0    2392.3    2396.0    1196.48         583      14.9    1.6290E+05         No
111    2396.0    2400.0    2405.0    1200.33        1485       7.5    4.1590E+05         No
112    2412.0    2415.6    2419.0    1208.12         730      14.2    2.0540E+05        Yes
113    2420.0    2425.1    2429.0    1212.91        1098      13.7    3.1010E+05         No
114    2436.0    2442.7    2447.0    1221.71        3216       4.5    9.1310E+05         No
